,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,spid,rating,COMMEQTA,LLPLOANS,COSTTOINCOME,ROE,LIQASSTA,SIZE,Total Rating,risk,Recommendation
104,104,104,104,104,116373,3,0.023686,0.000871,0.6689,0.116143,0.207088,20.6957,0.25891379999999997,low,APPROVED
105,105,105,105,105,107496,3,0.160019,0.000151,0.871417,0.044597,0.214833,16.4746,0.2784529,low,APPROVED
106,106,106,106,106,116818,3,0.041817,0.00363,0.46067,0.2102,0.228009,18.5378,0.33546915,low,APPROVED
107,107,107,107,107,127922,3,0.025637,-0.001369,0.04655,0.238493,0.080847,16.2973,0.23194104999999998,low,APPROVED
108,108,108,108,108,101508,3,0.037695,0.005005,0.610263,0.145573,0.325337,20.5171,0.3594618,low,APPROVED
109,109,109,109,109,106114,3,0.027355,0.001625,0.804727,0.213347,0.460207,19.0702,0.4998183,low,APPROVED
110,110,110,110,110,107905,4,0.066262,0.000838,0.670353,0.082893,0.348879,17.1225,0.3449027,low,APPROVED
111,111,111,111,111,103921,4,0.067462,0.001834,0.60975,0.20819,0.233922,17.1697,0.355438,low,APPROVED
112,112,112,112,112,104471,4,0.023199,0.008673,0.614193,0.172647,0.345513,21.2815,0.3862929,low,APPROVED
113,113,113,113,113,102343,4,0.052792,0.003684,0.623797,0.19193,0.269874,19.5629,0.36244414999999996,low,APPROVED
114,114,114,114,114,386821,4,0.053442,0.005005,0.586713,0.165383,0.136498,17.7021,0.25570475000000004,low,APPROVED
115,115,115,115,115,359971,4,0.200492,0.004573,0.689863,0.03926,0.102312,17.5237,0.20913205,low,APPROVED
116,116,116,116,116,102029,4,0.041324,0.00363,0.649897,0.209177,0.35591,19.8679,0.42715285000000003,low,APPROVED
117,117,117,117,117,104291,4,0.064597,0.00012,0.351843,0.111013,0.327723,18.9033,0.33417199999999997,low,APPROVED
118,118,118,118,118,106045,4,0.10786,0.00866,0.587697,0.08516,0.074703,18.6826,0.18156380000000003,medium,CONDITIONAL APPROVED
119,119,119,119,119,103905,4,0.078615,0.006405,0.63768,0.08728,0.097223,18.243,0.18826145,medium,CONDITIONAL APPROVED
120,120,120,120,120,102747,4,0.046631,0.001479,0.58306,0.200487,0.257369,19.5077,0.35558405000000004,low,APPROVED
121,121,121,121,121,102748,4,0.029567,0.009635,0.51778,-0.023023,0.184281,20.405,0.14234585,medium,CONDITIONAL APPROVED
122,122,122,122,122,108427,4,0.0372,0.000319,0.44482,0.193893,0.2178,19.103,0.31444799999999995,low,APPROVED
123,123,123,123,123,102921,4,0.052518,-0.000462,0.521967,0.151647,0.135597,17.766,0.2413503,low,APPROVED
124,124,124,124,124,109245,4,0.048437,0.00094,0.502517,0.160297,0.139233,18.8412,0.24730399999999997,low,APPROVED
125,125,125,125,125,300021,4,0.087632,0.004522,0.651157,0.088097,0.177759,20.2034,0.2452741,low,APPROVED
126,126,126,126,126,108973,4,0.102287,0.005624,0.527537,0.132183,0.026757,18.3536,0.1777742,medium,CONDITIONAL APPROVED
127,127,127,127,127,111538,4,0.257439,0.045769,0.464023,0.099567,0.068302,17.957,0.24484685,low,APPROVED
128,128,128,128,128,110053,5,0.050737,0.005079,0.62626,0.117047,0.231053,20.6805,0.28423305,low,APPROVED
129,129,129,129,129,102745,5,0.042435,0.003657,0.67262,0.15277,0.318338,19.3464,0.36482939999999997,low,APPROVED
130,130,130,130,130,105032,5,0.076463,0.009073,0.74953,0.02678,0.197428,17.3739,0.2160432,low,APPROVED
131,131,131,131,131,104003,5,0.037707,0.004911,0.772077,0.049143,0.180752,21.1662,0.20606665000000002,low,APPROVED
132,132,132,132,132,107124,5,0.034169,0.001171,0.546863,0.252487,0.072688,19.0205,0.26511595,low,APPROVED
